company_name,phone,website,email,address,city,state,rating,reviews,category,keyword,industry,industry_match,estimated_size,employee_estimate,estimated_years_in_business,outreach_priority,lead_score,tier,source,scraped_at,enriched_at
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Fort Lauderdale, FL",Fort Lauderdale,FL,4.7,76,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.197950+00:00,2026-03-10T19:07:23.395342+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Fort Lauderdale, FL",Fort Lauderdale,FL,4.5,61,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.197950+00:00,2026-03-10T19:07:23.395349+00:00
Fort Lauderdale Epoxy Experts,(954) 555-0601,https://www.fortlauderdaleepoxyexperts.com,info@fortlauderdaleepoxyexperts.com,"300 N Federal Hwy, Fort Lauderdale, FL",Fort Lauderdale,FL,4.4,43,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:23.197950+00:00,2026-03-10T19:07:23.395357+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Fort Lauderdale, FL",Fort Lauderdale,FL,4.7,88,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.197950+00:00,2026-03-10T19:07:23.395365+00:00
South Florida Epoxy Pros,(954) 781-2200,https://www.southfloridaepoxypros.com,info@southfloridaepoxypros.com,"1450 NE 48th St, Miami, FL",Miami,FL,4.8,127,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395373+00:00
Broward Epoxy & Concrete,(954) 942-5530,https://www.browardepoxyconcrete.com,info@browardepoxyconcrete.com,"2201 W Copans Rd, Miami, FL",Miami,FL,4.6,89,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395380+00:00
Prestige Garage Floors FL,(954) 509-1122,https://www.prestigegaragefloorsfl.com,info@prestigegaragefloorsfl.com,"500 NW 12th Ave, Miami, FL",Miami,FL,4.9,204,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,large,20-50,5+,high,100,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395388+00:00
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Miami, FL",Miami,FL,4.7,76,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395395+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Miami, FL",Miami,FL,4.5,61,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395402+00:00
Miami Epoxy Experts,(954) 555-0601,https://www.miamiepoxyexperts.com,info@miamiepoxyexperts.com,"300 N Federal Hwy, Miami, FL",Miami,FL,4.4,43,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395409+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Miami, FL",Miami,FL,4.7,88,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.351776+00:00,2026-03-10T19:07:23.395416+00:00
South Florida Epoxy Pros,(954) 781-2200,https://www.southfloridaepoxypros.com,info@southfloridaepoxypros.com,"1450 NE 48th St, Boca Raton, FL",Boca Raton,FL,4.8,127,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395424+00:00
Broward Epoxy & Concrete,(954) 942-5530,https://www.browardepoxyconcrete.com,info@browardepoxyconcrete.com,"2201 W Copans Rd, Boca Raton, FL",Boca Raton,FL,4.6,89,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395431+00:00
Prestige Garage Floors FL,(954) 509-1122,https://www.prestigegaragefloorsfl.com,info@prestigegaragefloorsfl.com,"500 NW 12th Ave, Boca Raton, FL",Boca Raton,FL,4.9,204,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,large,20-50,5+,high,100,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395438+00:00
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Boca Raton, FL",Boca Raton,FL,4.7,76,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395446+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Boca Raton, FL",Boca Raton,FL,4.5,61,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395454+00:00
Boca Raton Epoxy Experts,(954) 555-0601,https://www.bocaratonepoxyexperts.com,info@bocaratonepoxyexperts.com,"300 N Federal Hwy, Boca Raton, FL",Boca Raton,FL,4.4,43,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395462+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Boca Raton, FL",Boca Raton,FL,4.7,88,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:22.931904+00:00,2026-03-10T19:07:23.395470+00:00
South Florida Epoxy Pros,(954) 781-2200,https://www.southfloridaepoxypros.com,info@southfloridaepoxypros.com,"1450 NE 48th St, Hollywood, FL",Hollywood,FL,4.8,127,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395477+00:00
Broward Epoxy & Concrete,(954) 942-5530,https://www.browardepoxyconcrete.com,info@browardepoxyconcrete.com,"2201 W Copans Rd, Hollywood, FL",Hollywood,FL,4.6,89,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395485+00:00
Prestige Garage Floors FL,(954) 509-1122,https://www.prestigegaragefloorsfl.com,info@prestigegaragefloorsfl.com,"500 NW 12th Ave, Hollywood, FL",Hollywood,FL,4.9,204,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,large,20-50,5+,high,100,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395493+00:00
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Hollywood, FL",Hollywood,FL,4.7,76,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395501+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Hollywood, FL",Hollywood,FL,4.5,61,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395509+00:00
Hollywood Epoxy Experts,(954) 555-0601,https://www.hollywoodepoxyexperts.com,info@hollywoodepoxyexperts.com,"300 N Federal Hwy, Hollywood, FL",Hollywood,FL,4.4,43,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395517+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Hollywood, FL",Hollywood,FL,4.7,88,Epoxy Contractor,epoxy floor contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391988+00:00,2026-03-10T19:07:23.395525+00:00
South Florida Concrete Pros,(954) 781-2200,https://www.southfloridaconcretepros.com,info@southfloridaconcretepros.com,"1450 NE 48th St, Deerfield Beach, FL",Deerfield Beach,FL,4.8,127,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395534+00:00
Broward Concrete & Concrete,(954) 942-5530,https://www.browardconcreteconcrete.com,info@browardconcreteconcrete.com,"2201 W Copans Rd, Deerfield Beach, FL",Deerfield Beach,FL,4.6,89,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395542+00:00
Prestige Garage Floors FL,(954) 509-1122,https://www.prestigegaragefloorsfl.com,info@prestigegaragefloorsfl.com,"500 NW 12th Ave, Deerfield Beach, FL",Deerfield Beach,FL,4.9,204,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,large,20-50,5+,high,100,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395550+00:00
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Deerfield Beach, FL",Deerfield Beach,FL,4.7,76,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395558+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Deerfield Beach, FL",Deerfield Beach,FL,4.5,61,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395566+00:00
Deerfield Beach Concrete Experts,(954) 555-0601,https://www.deerfieldbeachconcreteexperts.com,info@deerfieldbeachconcreteexperts.com,"300 N Federal Hwy, Deerfield Beach, FL",Deerfield Beach,FL,4.4,43,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395574+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Deerfield Beach, FL",Deerfield Beach,FL,4.7,88,Concrete Contractor,concrete coating contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.391206+00:00,2026-03-10T19:07:23.395582+00:00
South Florida Garage Pros,(954) 781-2200,https://www.southfloridagaragepros.com,info@southfloridagaragepros.com,"1450 NE 48th St, Coral Springs, FL",Coral Springs,FL,4.8,127,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395591+00:00
Broward Garage & Concrete,(954) 942-5530,https://www.browardgarageconcrete.com,info@browardgarageconcrete.com,"2201 W Copans Rd, Coral Springs, FL",Coral Springs,FL,4.6,89,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395599+00:00
Prestige Garage Floors FL,(954) 509-1122,https://www.prestigegaragefloorsfl.com,info@prestigegaragefloorsfl.com,"500 NW 12th Ave, Coral Springs, FL",Coral Springs,FL,4.9,204,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,large,20-50,5+,high,100,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395607+00:00
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Coral Springs, FL",Coral Springs,FL,4.7,76,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395614+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Coral Springs, FL",Coral Springs,FL,4.5,61,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395621+00:00
Coral Springs Garage Experts,(954) 555-0601,https://www.coralspringsgarageexperts.com,info@coralspringsgarageexperts.com,"300 N Federal Hwy, Coral Springs, FL",Coral Springs,FL,4.4,43,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395629+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Coral Springs, FL",Coral Springs,FL,4.7,88,Garage Contractor,garage floor epoxy,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.372099+00:00,2026-03-10T19:07:23.395637+00:00
South Florida Flooring Pros,(954) 781-2200,https://www.southfloridaflooringpros.com,info@southfloridaflooringpros.com,"1450 NE 48th St, Plantation, FL",Plantation,FL,4.8,127,Flooring Contractor,flooring contractors,Flooring,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395647+00:00
Broward Flooring & Concrete,(954) 942-5530,https://www.browardflooringconcrete.com,info@browardflooringconcrete.com,"2201 W Copans Rd, Plantation, FL",Plantation,FL,4.6,89,Flooring Contractor,flooring contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395655+00:00
Prestige Garage Floors FL,(954) 509-1122,https://www.prestigegaragefloorsfl.com,info@prestigegaragefloorsfl.com,"500 NW 12th Ave, Plantation, FL",Plantation,FL,4.9,204,Flooring Contractor,flooring contractors,Epoxy & Concrete Coatings,True,large,20-50,5+,high,100,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395664+00:00
XPS Concrete Coatings,(954) 360-0088,https://www.xpsconcretecoatings.com,info@xpsconcretecoatings.com,"1100 SW 10th St, Plantation, FL",Plantation,FL,4.7,76,Flooring Contractor,flooring contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395671+00:00
Sunshine State Epoxy,(954) 243-7761,https://www.sunshinestateepoxy.com,info@sunshinestateepoxy.com,"601 E Sample Rd, Plantation, FL",Plantation,FL,4.5,61,Flooring Contractor,flooring contractors,Epoxy & Concrete Coatings,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395678+00:00
Plantation Flooring Experts,(954) 555-0601,https://www.plantationflooringexperts.com,info@plantationflooringexperts.com,"300 N Federal Hwy, Plantation, FL",Plantation,FL,4.4,43,Flooring Contractor,flooring contractors,Flooring,True,small,1-5,0-2,medium,90,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395688+00:00
Elite Floor Systems,(954) 555-0702,https://www.elitefloorsystems.com,info@elitefloorsystems.com,"800 E Copans Rd, Plantation, FL",Plantation,FL,4.7,88,Flooring Contractor,flooring contractors,Flooring,True,medium,5-20,2-5,high,100,HOT,google_maps,2026-03-10T19:07:23.394112+00:00,2026-03-10T19:07:23.395696+00:00
